personName,position,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Shane Larkin,G,358,858,41.72494172494173,82,232,35.3448275862069,131,169,77.51479289940828,54,260,314,511,150,15,218,225,929,-269
Shaquille Harrison,"F, G",283,655,43.20610687022901,43,147,29.25170068027211,134,189,70.8994708994709,60,291,351,207,139,55,87,212,743,-278
Shaquille O'Neal,C,134,201,66.66666666666666,0,0,0.0,73,131,55.72519083969466,48,130,178,26,16,42,56,120,341,193
Shaun Livingston,G,1417,2808,50.46296296296296,5,35,14.285714285714285,613,755,81.19205298013244,312,955,1267,1475,387,204,590,947,3452,539
Shawn Marion,"G, F",1537,3145,48.871224165341815,118,382,30.89005235602094,356,457,77.89934354485777,655,1585,2240,580,327,197,459,525,3548,-329
Shawne Williams,F,61,207,29.468599033816425,25,113,22.123893805309734,15,18,83.33333333333334,29,66,95,24,14,15,20,63,162,-88
Shelden Williams,"C, F",178,382,46.596858638743456,0,0,0.0,110,150,73.33333333333333,215,358,573,54,65,61,103,241,466,-244
Shelvin Mack,G,409,986,41.48073022312373,120,375,32.0,111,140,79.28571428571428,31,256,287,509,99,4,180,170,1049,-60
Simone Fontecchio,F,91,190,47.89473684210526,43,101,42.57425742574257,22,26,84.61538461538461,12,58,70,28,14,5,17,29,247,-36
Skylar Mays,G,76,162,46.913580246913575,22,65,33.84615384615385,30,34,88.23529411764706,15,45,60,47,21,2,19,24,204,-40
Solomon Hill,"F, G",110,318,34.59119496855346,70,225,31.11111111111111,35,46,76.08695652173914,48,189,237,87,54,13,43,132,325,66
Spencer Dinwiddie,"G, F",2100,5020,41.832669322709165,753,2258,33.348095659875995,1506,1901,79.22146238821672,196,1192,1388,2480,338,130,803,1065,6459,-322
Spencer Hawes,C,367,821,44.70158343483557,101,262,38.54961832061068,124,150,82.66666666666667,126,472,598,235,48,80,152,255,959,-167
Stanley Johnson,"F, G",697,1874,37.1931696905016,226,774,29.198966408268735,269,351,76.63817663817663,152,770,922,395,254,63,317,560,1889,-303
Stanley Umude,F,37,85,43.529411764705884,24,54,44.44444444444444,31,34,91.17647058823529,8,43,51,11,9,8,14,40,129,-72
Stephen Curry,G,7556,15955,47.35819492322156,3581,8425,42.50445103857567,3576,3925,91.10828025477707,581,3572,4153,5647,1321,216,2744,1963,22269,6065
Stephen Graham,"G, F",81,200,40.5,5,21,23.809523809523807,31,38,81.57894736842105,17,106,123,40,14,1,38,106,198,-297
