personName,position,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
AJ Price,G,164,427,38.40749414519906,70,207,33.81642512077295,49,62,79.03225806451613,20,97,117,211,33,3,65,78,447,-88
Aaron Brooks,G,225,503,44.731610337972164,70,194,36.08247422680412,86,109,78.89908256880734,21,84,105,212,42,8,107,135,606,-254
Aaron Gordon,"F, G",2068,4623,44.73285745187108,483,1495,32.30769230769231,888,1278,69.48356807511738,678,2075,2753,1069,328,277,629,865,5507,-489
Aaron Gray,C,158,312,50.641025641025635,0,1,0.0,59,111,53.153153153153156,173,352,525,82,39,30,118,276,375,-324
Aaron Holiday,G,151,338,44.67455621301775,39,103,37.86407766990291,59,68,86.76470588235294,24,98,122,153,42,9,67,92,400,-39
Aaron Wiggins,"F, G",554,1077,51.43918291550603,152,386,39.37823834196891,177,227,77.97356828193833,179,396,575,234,125,44,166,294,1437,-132
Abdel Nader,"G, F",283,629,44.992050874403816,102,285,35.78947368421053,112,149,75.16778523489933,39,266,305,84,61,45,99,200,780,-213
Admiral Schofield,F,154,369,41.734417344173444,75,230,32.608695652173914,43,55,78.18181818181819,50,165,215,78,21,14,49,178,426,-277
Adonis Thomas,F,6,14,42.857142857142854,1,5,20.0,1,1,100.0,0,3,3,3,0,0,1,6,14,8
Al Horford,"C, F",481,1069,44.99532273152479,155,435,35.63218390804598,79,102,77.45098039215686,132,512,644,364,77,87,109,190,1196,26
Al Jefferson,"C, F",1781,3603,49.43102969747433,3,21,14.285714285714285,524,683,76.7203513909224,524,1575,2099,447,173,343,272,563,4089,-168
Al Thornton,F,154,327,47.09480122324159,4,25,16.0,81,107,75.70093457943925,46,110,156,51,28,9,44,103,393,-154
Al-Farouq Aminu,F,1030,2535,40.63116370808679,433,1247,34.723336006415394,453,591,76.6497461928934,428,1835,2263,475,314,187,407,601,2946,573
Alan Anderson,"F, G",312,817,38.188494492044065,131,383,34.20365535248042,166,196,84.6938775510204,43,166,209,143,57,11,107,191,921,-75
Alec Burks,G,1356,3173,42.73558146864166,276,771,35.797665369649806,925,1201,77.01915070774355,239,935,1174,669,247,59,506,698,3913,-367
Aleksej Pokusevski,"F, C, G",437,1129,38.706820194862715,155,519,29.865125240847785,90,131,68.70229007633588,150,549,699,297,80,124,239,209,1119,-667
Alex Abrines,G,305,789,38.656527249683144,219,595,36.806722689075634,95,108,87.96296296296296,49,199,248,88,92,22,72,291,924,72
Alex Len,"C, F",1286,2520,51.031746031746025,22,79,27.848101265822784,737,1066,69.13696060037523,921,1954,2875,423,192,492,582,1266,3331,-1013
Alex Poythress,F,25,54,46.2962962962963,6,19,31.57894736842105,8,10,80.0,11,18,29,5,3,2,3,14,64,-36
Allen Crabbe,"G, F",689,1511,45.59894109861019,282,686,41.10787172011662,218,257,84.8249027237354,54,470,524,238,138,52,144,447,1878,-98
Alonzo Gee,F,34,79,43.037974683544306,3,13,23.076923076923077,14,24,58.333333333333336,21,28,49,11,14,3,19,29,85,-86
Amir Johnson,"C, F",1674,2989,56.00535296085647,68,203,33.497536945812804,573,829,69.11942098914355,1066,1852,2918,692,328,471,613,1560,3989,290
Andray Blatche,"F, C",519,1202,43.17803660565724,6,25,24.0,253,332,76.20481927710844,225,451,676,172,118,68,209,236,1297,-394
