personName,teamName,season_year,position,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
AJ Green,Bucks,2022-23,G,9.855714285714285,1.5142857142857142,3.5714285714285716,42.4,1.2571428571428571,3.0,41.904761904761905,0.11428571428571428,0.11428571428571428,100.0,0.17142857142857143,1.1142857142857143,1.2857142857142858,0.6285714285714286,0.17142857142857143,0.0,0.2571428571428571,0.8857142857142857,4.4,-0.7428571428571429
AJ Green,Bucks,2023-24,G,10.969345238095238,1.4821428571428572,3.5,42.3469387755102,1.2321428571428572,3.017857142857143,40.828402366863905,0.30357142857142855,0.3392857142857143,89.4736842105263,0.16071428571428573,0.9821428571428571,1.1428571428571428,0.5357142857142857,0.16071428571428573,0.07142857142857142,0.21428571428571427,0.875,4.5,0.8928571428571429
AJ Griffin,Hawks,2022-23,F,19.083660130718954,3.392156862745098,7.313725490196078,46.38069705093834,1.4705882352941178,3.7450980392156863,39.26701570680628,0.4117647058823529,0.47058823529411764,87.5,0.47058823529411764,1.607843137254902,2.0784313725490198,0.9803921568627451,0.5882352941176471,0.17647058823529413,0.5098039215686274,1.1764705882352942,8.666666666666666,1.0588235294117647
AJ Griffin,Hawks,2022-23,G,20.38968253968254,3.5714285714285716,7.619047619047619,46.87500000000001,1.2380952380952381,3.238095238095238,38.235294117647065,1.0,1.0952380952380953,91.30434782608695,0.6190476190476191,1.619047619047619,2.238095238095238,1.0952380952380953,0.5714285714285714,0.14285714285714285,0.7619047619047619,1.2857142857142858,9.380952380952381,0.42857142857142855
AJ Griffin,Hawks,2023-24,F,8.998888888888889,0.9333333333333333,2.8666666666666667,32.55813953488372,0.4666666666666667,1.6666666666666667,27.999999999999996,0.13333333333333333,0.13333333333333333,100.0,0.06666666666666667,0.9333333333333333,1.0,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.4,0.3333333333333333,2.466666666666667,-2.8
AJ Griffin,Hawks,2023-24,G,7.153333333333333,0.8,3.8,21.05263157894737,0.6,2.8,21.42857142857143,0.0,0.0,0.0,0.2,0.4,0.6,0.0,0.0,0.0,0.4,0.2,2.2,-1.8
AJ Price,Cavaliers,2014-15,G,7.886363636363637,0.8181818181818182,3.090909090909091,26.47058823529412,0.0,1.0,0.0,0.36363636363636365,0.5454545454545454,66.66666666666667,0.36363636363636365,1.0,1.3636363636363635,1.1818181818181819,0.2727272727272727,0.0,0.2727272727272727,0.09090909090909091,2.0,-4.0
AJ Price,Pacers,2010-11,G,15.902999999999999,2.28,6.4,35.62499999999999,0.82,2.98,27.516778523489933,1.08,1.62,66.66666666666666,0.32,1.12,1.44,2.22,0.58,0.02,1.06,1.22,6.46,0.54
AJ Price,Pacers,2011-12,G,12.91022727272727,1.3409090909090908,3.9545454545454546,33.90804597701149,0.5909090909090909,2.0,29.545454545454547,0.6363636363636364,0.7954545454545454,80.0,0.29545454545454547,1.0909090909090908,1.3863636363636365,1.9545454545454546,0.45454545454545453,0.045454545454545456,0.7272727272727273,0.6818181818181818,3.909090909090909,0.8181818181818182
AJ Price,Pacers,2014-15,G,19.3,3.9,8.9,43.82022471910112,1.5,3.9,38.46153846153847,1.2,1.8,66.66666666666666,0.2,1.2,1.4,2.7,0.4,0.0,1.0,0.9,10.5,0.3
