personName,position,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Tyus Jones,G,1401,3215,43.576982892690516,420,1176,35.714285714285715,407,499,81.56312625250501,131,868,999,2108,527,39,400,410,3629,292
Udonis Haslem,"F, C",583,1284,45.40498442367601,9,58,15.517241379310345,236,324,72.8395061728395,389,1225,1614,177,117,78,209,637,1411,8
Usman Garuba,C,105,221,47.511312217194565,29,79,36.708860759493675,34,54,62.96296296296296,141,249,390,81,54,40,53,163,273,-220
Vander Blue,G,10,35,28.57142857142857,2,12,16.666666666666664,3,7,42.857142857142854,2,8,10,11,4,0,9,6,25,-23
Victor Oladipo,"G, F",1416,3228,43.866171003717476,431,1241,34.73005640612409,622,804,77.363184079602,108,870,978,890,362,99,534,476,3885,345
Vince Carter,"F, G",461,1239,37.20742534301856,240,697,34.433285509325685,203,256,79.296875,94,412,506,268,141,66,128,366,1365,153
Vince Williams Jr.,"F, G",181,419,43.198090692124104,83,237,35.0210970464135,106,132,80.3030303030303,63,242,305,179,53,36,97,147,551,-125
Wade Baldwin IV,G,36,115,31.30434782608696,3,22,13.636363636363635,31,37,83.78378378378379,11,35,46,61,18,7,39,40,106,-139
Wayne Ellington,"G, F",1361,3365,40.445765230312034,779,2051,37.981472452462214,279,334,83.53293413173652,137,871,1008,504,251,40,286,543,3780,-228
Wayne Selden,"G, F",207,492,42.073170731707314,77,215,35.81395348837209,82,114,71.9298245614035,33,84,117,116,34,12,89,126,573,-217
Wendell Moore Jr.,G,27,61,44.26229508196721,2,23,8.695652173913043,4,5,80.0,4,26,30,24,13,6,12,18,60,-59
Wenyen Gabriel,"F, C",241,452,53.31858407079646,32,102,31.372549019607842,88,148,59.45945945945946,182,279,461,64,42,56,85,254,602,-5
Wes Iwundu,G,17,50,34.0,2,18,11.11111111111111,14,17,82.35294117647058,9,37,46,8,6,1,13,23,50,-49
Wesley Johnson,"F, G",1458,3592,40.5902004454343,558,1642,33.982947624847746,329,445,73.93258426966293,314,1469,1783,604,444,379,471,1094,3803,-1138
Wesley Matthews,"G, F",486,1283,37.879968823070925,316,915,34.53551912568306,178,218,81.65137614678899,118,414,532,276,140,52,138,399,1466,634
Willie Green,G,550,1266,43.44391785150079,166,442,37.55656108597285,129,166,77.71084337349397,51,285,336,179,87,36,132,335,1395,111
Willie Reed,C,242,405,59.75308641975309,2,6,33.33333333333333,81,143,56.64335664335665,164,288,452,35,27,69,50,190,567,52
