teamName,season_year,minutes,wins
Jazz,2011-12,16134.766666666666,36
Jazz,2012-13,19827.983333333334,43
Jazz,2013-14,18459.683333333334,25
Jazz,2014-15,19428.616666666665,38
Jazz,2015-16,19867.4,40
Jazz,2016-17,19702.566666666666,51
Jazz,2017-18,19737.783333333333,48
Jazz,2018-19,19671.216666666667,50
Jazz,2019-20,16852.933333333334,44
Jazz,2020-21,17069.666666666668,52
Jazz,2021-22,19639.933333333334,49
Jazz,2022-23,19713.833333333332,37
Jazz,2023-24,19428.8,31
Kings,2010-11,19824.0,24
Kings,2011-12,15458.433333333332,22
Kings,2012-13,19798.683333333334,28
Kings,2013-14,19747.0,28
Kings,2014-15,19812.5,29
Kings,2015-16,19780.9,33
Kings,2016-17,19525.266666666666,32
Kings,2017-18,19444.7,27
Kings,2018-19,19724.15,39
Kings,2019-20,17194.283333333333,31
Kings,2020-21,16700.933333333334,31
Kings,2021-22,19626.95,30
Kings,2022-23,19787.383333333335,48
Kings,2023-24,19087.033333333333,46
Knicks,2010-11,19427.583333333332,42
Knicks,2011-12,15717.15,36
Knicks,2012-13,19434.2,54
Knicks,2013-14,19480.85,37
Knicks,2014-15,19621.983333333334,17
Knicks,2015-16,19805.216666666667,32
Knicks,2016-17,19855.116666666665,31
Knicks,2017-18,19590.65,29
Knicks,2018-19,19684.383333333335,17
Knicks,2019-20,15965.083333333334,21
Knicks,2020-21,17362.1,41
Knicks,2021-22,19767.933333333334,37
Knicks,2022-23,19947.3,47
Knicks,2023-24,19682.416666666668,50
Lakers,2010-11,19046.816666666666,57
Lakers,2011-12,15582.033333333333,41
Lakers,2012-13,19743.383333333335,45
Lakers,2013-14,19693.75,27
Lakers,2014-15,19807.416666666668,21
Lakers,2015-16,19730.1,17
Lakers,2016-17,19705.1,26
Lakers,2017-18,19830.4,35
Lakers,2018-19,19746.433333333334,37
Lakers,2019-20,17065.133333333335,52
Lakers,2020-21,17399.383333333335,42
Lakers,2021-22,19938.133333333335,33
Lakers,2022-23,19839.016666666666,43
Lakers,2023-24,19500.866666666665,47
Magic,2010-11,19480.516666666666,52
Magic,2011-12,15767.933333333332,37
Magic,2012-13,19482.75,20
Magic,2013-14,19260.3,23
Magic,2014-15,19755.216666666667,25
Magic,2015-16,19878.316666666666,35
Magic,2016-17,19499.2,29
Magic,2017-18,19730.166666666668,25
Magic,2018-19,19092.633333333335,42
Magic,2019-20,17187.516666666666,33
Magic,2020-21,16691.566666666666,21
Magic,2021-22,19420.05,22
Magic,2022-23,19323.05,34
Magic,2023-24,19542.883333333335,47
Mavericks,2010-11,19705.266666666666,57
Mavericks,2011-12,15982.25,36
Mavericks,2012-13,19967.233333333334,41
Mavericks,2013-14,19797.166666666668,49
Mavericks,2014-15,19869.433333333334,50
Mavericks,2015-16,20005.25,42
Mavericks,2016-17,19261.416666666668,33
Mavericks,2017-18,19463.266666666666,24
Mavericks,2018-19,19679.733333333334,33
Mavericks,2019-20,18101.166666666668,43
Mavericks,2020-21,17084.566666666666,42
Mavericks,2021-22,19692.55,52
Mavericks,2022-23,19820.65,38
Mavericks,2023-24,19338.65,50
Nets,2010-11,19794.683333333334,24
Nets,2011-12,15582.983333333334,22
Nets,2012-13,19732.3,49
Nets,2013-14,19742.6,44
Nets,2014-15,19547.2,38
Nets,2015-16,19755.35,21
Nets,2016-17,19755.133333333335,20
Nets,2017-18,19577.533333333333,28
Nets,2018-19,19871.7,42
Nets,2019-20,16808.65,35
Nets,2020-21,17377.333333333332,48
Nets,2021-22,19755.2,44
Nets,2022-23,19690.0,45
Nets,2023-24,19781.283333333333,32
Nuggets,2010-11,19507.9,50
Nuggets,2011-12,16040.15,38
Nuggets,2012-13,19905.283333333333,57
Nuggets,2013-14,19755.2,36
Nuggets,2014-15,19867.083333333332,30
Nuggets,2015-16,19830.216666666667,33
Nuggets,2016-17,19755.116666666665,40
Nuggets,2017-18,19878.083333333332,46
Nuggets,2018-19,19578.683333333334,54
Nuggets,2019-20,17745.233333333334,46
Nuggets,2020-21,17468.266666666666,47
Nuggets,2021-22,19733.883333333335,48
Nuggets,2022-23,19689.166666666668,53
Nuggets,2023-24,18655.383333333335,57
Pacers,2010-11,18941.066666666666,37
Pacers,2011-12,15990.216666666667,42
Pacers,2012-13,19389.8,49
Pacers,2013-14,19780.25,56
Pacers,2014-15,19747.033333333333,38
Pacers,2015-16,19833.416666666668,45
Pacers,2016-17,19635.8,42
Pacers,2017-18,19714.916666666668,48
Pacers,2018-19,19698.95,48
Pacers,2019-20,17573.183333333334,45
Pacers,2020-21,17413.75,34
Pacers,2021-22,19854.8,25
Pacers,2022-23,19589.1,35
Pacers,2023-24,19245.5,47
Pelicans,2013-14,19828.166666666668,34
Pelicans,2014-15,19751.133333333335,45
Pelicans,2015-16,19780.216666666667,30
Pelicans,2016-17,19905.283333333333,34
Pelicans,2017-18,19897.85,48
Pelicans,2018-19,19588.116666666665,33
Pelicans,2019-20,17356.383333333335,30
Pelicans,2020-21,16474.7,31
Pelicans,2021-22,19371.05,36
Pelicans,2022-23,19608.816666666666,42
Pelicans,2023-24,19470.133333333335,49
Pistons,2010-11,19880.166666666668,30
Pistons,2011-12,15472.5,25
Pistons,2012-13,19174.883333333335,29
Pistons,2013-14,19476.766666666666,29
Pistons,2014-15,19830.166666666668,32
Pistons,2015-16,19845.05,44
Pistons,2016-17,19773.55,37
Pistons,2017-18,19357.616666666665,39
Pistons,2018-19,19845.816666666666,41
Pistons,2019-20,15864.316666666668,20
Pistons,2020-21,17296.933333333334,20
Pistons,2021-22,19241.05,23
Pistons,2022-23,19508.033333333333,17
Pistons,2023-24,19423.7,14
Raptors,2010-11,19455.916666666668,22
Raptors,2011-12,15561.683333333332,23
Raptors,2012-13,19980.166666666668,34
Raptors,2013-14,19809.133333333335,48
Raptors,2014-15,19855.25,49
Raptors,2015-16,19780.25,56
Raptors,2016-17,19780.2,51
Raptors,2017-18,19824.066666666666,59
Raptors,2018-19,19825.25,58
Raptors,2019-20,17341.333333333332,53
Raptors,2020-21,17305.133333333335,27
Raptors,2021-22,19798.516666666666,48
Raptors,2022-23,19449.333333333332,41
Raptors,2023-24,19640.983333333334,25
Rockets,2010-11,19780.1,43
Rockets,2011-12,15724.166666666666,34
Rockets,2012-13,19747.25,45
Rockets,2013-14,19810.8,54
Rockets,2014-15,19542.933333333334,56
Rockets,2015-16,19780.666666666668,41
Rockets,2016-17,19613.183333333334,55
Rockets,2017-18,19406.416666666668,65
Rockets,2018-19,19775.983333333334,53
Rockets,2019-20,16931.666666666668,44
Rockets,2020-21,17183.466666666667,17
Rockets,2021-22,19680.783333333333,20
Rockets,2022-23,19701.8,22
Rockets,2023-24,19173.916666666668,41
Spurs,2010-11,19311.766666666666,61
Spurs,2011-12,15816.15,50
Spurs,2012-13,19880.15,58
Spurs,2013-14,19740.666666666668,62
Spurs,2014-15,19955.233333333334,55
Spurs,2015-16,19705.15,67
Spurs,2016-17,19805.233333333334,61
Spurs,2017-18,19697.933333333334,47
Spurs,2018-19,19805.133333333335,48
Spurs,2019-20,17137.483333333334,32
Spurs,2020-21,17352.85,33
Spurs,2021-22,19583.95,34
Spurs,2022-23,19772.433333333334,22
Spurs,2023-24,19612.5,22
Suns,2010-11,19610.4,40
Suns,2011-12,15840.183333333332,33
Suns,2012-13,19362.983333333334,25
Suns,2013-14,19402.966666666667,48
Suns,2014-15,19742.55,39
Suns,2015-16,19604.433333333334,23
Suns,2016-17,19060.033333333333,24
Suns,2017-18,19323.566666666666,21
Suns,2018-19,19854.733333333334,19
Suns,2019-20,17540.333333333332,34
Suns,2020-21,17432.566666666666,51
Suns,2021-22,19652.083333333332,64
Suns,2022-23,19780.15,45
Suns,2023-24,19780.233333333334,49
Thunder,2010-11,18782.7,55
Thunder,2011-12,15695.95,47
Thunder,2012-13,19439.2,60
Thunder,2013-14,19793.616666666665,59
Thunder,2014-15,19805.55,45
Thunder,2015-16,19830.183333333334,55
Thunder,2016-17,19805.2,47
Thunder,2017-18,19830.15,48
Thunder,2018-19,19612.05,49
Thunder,2019-20,16940.683333333334,44
Thunder,2020-21,17055.9,22
Thunder,2021-22,19601.533333333333,24
Thunder,2022-23,19855.233333333334,40
Thunder,2023-24,19725.133333333335,57
Timberwolves,2010-11,19331.783333333333,17
Timberwolves,2011-12,15940.233333333334,26
Timberwolves,2012-13,19678.883333333335,31
Timberwolves,2013-14,19855.216666666667,40
Timberwolves,2014-15,19805.166666666668,16
Timberwolves,2015-16,19880.2,29
Timberwolves,2016-17,19805.083333333332,31
Timberwolves,2017-18,19580.916666666668,47
Timberwolves,2018-19,19384.4,36
Timberwolves,2019-20,15560.2,19
Timberwolves,2020-21,17405.15,23
Timberwolves,2021-22,19776.783333333333,46
Timberwolves,2022-23,19732.25,42
Timberwolves,2023-24,19661.416666666668,56
Trail Blazers,2010-11,19250.283333333333,48
Trail Blazers,2011-12,15496.183333333332,28
Trail Blazers,2012-13,19283.483333333334,33
Trail Blazers,2013-14,19855.3,54
Trail Blazers,2014-15,19855.316666666666,51
Trail Blazers,2015-16,19727.266666666666,44
Trail Blazers,2016-17,19850.333333333332,41
Trail Blazers,2017-18,19751.583333333332,49
Trail Blazers,2018-19,19855.3,53
Trail Blazers,2019-20,17835.166666666668,35
Trail Blazers,2020-21,17305.2,42
Trail Blazers,2021-22,19671.833333333332,27
Trail Blazers,2022-23,19709.25,33
Trail Blazers,2023-24,19782.55,21
Warriors,2010-11,19027.733333333334,36
Warriors,2011-12,15788.333333333334,23
Warriors,2012-13,19784.55,47
Warriors,2013-14,19595.516666666666,51
Warriors,2014-15,19658.483333333334,67
Warriors,2015-16,19880.133333333335,73
Warriors,2016-17,19780.216666666667,67
Warriors,2017-18,19730.116666666665,58
Warriors,2018-19,19737.866666666665,57
Warriors,2019-20,15689.3,15
Warriors,2020-21,17305.15,39
Warriors,2021-22,19629.383333333335,53
Warriors,2022-23,19524.366666666665,44
Warriors,2023-24,19218.05,46
Wizards,2010-11,19505.8,23
Wizards,2011-12,15326.683333333332,20
Wizards,2012-13,19753.316666666666,29
Wizards,2013-14,19840.85,44
Wizards,2014-15,19938.3,46
Wizards,2015-16,19608.583333333332,41
Wizards,2016-17,19780.316666666666,49
Wizards,2017-18,19841.883333333335,43
Wizards,2018-19,19835.55,32
Wizards,2019-20,16830.3,25
Wizards,2020-21,17300.583333333332,34
Wizards,2021-22,19718.6,35
Wizards,2022-23,19460.75,35
Wizards,2023-24,19514.983333333334,15
