personName,teamName,season_year,position,mean_minutes_played,total_minutes_played
AJ Green,Bucks,2022-23,G,9.855714285714285,344.95
AJ Green,Bucks,2023-24,G,10.969345238095238,614.2833333333333
AJ Griffin,Hawks,2022-23,F,19.083660130718954,973.2666666666667
AJ Griffin,Hawks,2022-23,G,20.38968253968254,428.18333333333334
AJ Griffin,Hawks,2023-24,F,8.99888888888889,134.98333333333335
AJ Griffin,Hawks,2023-24,G,7.153333333333333,35.766666666666666
AJ Price,Cavaliers,2014-15,G,7.886363636363637,86.75
AJ Price,Pacers,2010-11,G,15.902999999999999,795.15
AJ Price,Pacers,2011-12,G,12.91022727272727,568.05
AJ Price,Pacers,2014-15,G,19.3,193.0
AJ Price,Suns,2014-15,G,8.753333333333334,43.766666666666666
AJ Price,Timberwolves,2013-14,G,3.548809523809524,99.36666666666667
AJ Price,Wizards,2012-13,G,22.42105263157895,1278.0
Aaron Brooks,Bulls,2014-15,G,22.983536585365854,1884.65
Aaron Brooks,Bulls,2015-16,G,16.054347826086957,1107.75
Aaron Brooks,Kings,2012-13,G,20.847101449275364,958.9666666666667
Aaron Brooks,Nuggets,2013-14,G,29.002873563218394,841.0833333333334
Aaron Brooks,Pacers,2016-17,G,13.74948717948718,893.7166666666667
Aaron Brooks,Rockets,2010-11,G,23.85392156862745,811.0333333333333
Aaron Brooks,Rockets,2012-13,G,5.40952380952381,37.86666666666667
Aaron Brooks,Rockets,2013-14,G,16.655813953488373,716.2
Aaron Brooks,Suns,2010-11,G,18.925333333333334,473.1333333333333
Aaron Brooks,Timberwolves,2017-18,G,5.91875,189.4
Aaron Gordon,Magic,2014-15,F,16.956028368794325,796.9333333333333
Aaron Gordon,Magic,2015-16,F,23.873809523809523,1838.2833333333333
Aaron Gordon,Magic,2015-16,G,24.833333333333332,24.833333333333332
Aaron Gordon,Magic,2016-17,F,28.637130801687764,2262.3333333333335
Aaron Gordon,Magic,2016-17,G,35.666666666666664,35.666666666666664
Aaron Gordon,Magic,2017-18,F,32.91494252873563,1909.0666666666666
Aaron Gordon,Magic,2018-19,F,33.75042735042735,2632.5333333333333
Aaron Gordon,Magic,2019-20,F,32.53467741935484,2017.15
Aaron Gordon,Magic,2020-21,F,29.425333333333334,735.6333333333333
Aaron Gordon,Nuggets,2020-21,F,25.926666666666666,648.1666666666666
Aaron Gordon,Nuggets,2021-22,F,31.672444444444444,2375.4333333333334
Aaron Gordon,Nuggets,2022-23,F,30.222303921568628,2055.116666666667
Aaron Gordon,Nuggets,2023-24,C,39.233333333333334,39.233333333333334
Aaron Gordon,Nuggets,2023-24,F,31.35509259259259,2257.5666666666666
Aaron Gray,Hornets,2010-11,C,12.947967479674796,530.8666666666667
Aaron Gray,Kings,2013-14,C,10.137878787878789,334.55
Aaron Gray,Raptors,2011-12,C,16.585714285714285,812.7
Aaron Gray,Raptors,2012-13,C,12.222619047619048,513.35
Aaron Gray,Raptors,2013-14,C,4.95,19.8
Aaron Harrison,Hornets,2015-16,G,4.442857142857143,93.3
Aaron Harrison,Hornets,2016-17,G,3.3133333333333335,16.566666666666666
Aaron Harrison,Mavericks,2017-18,G,25.916666666666668,233.25
Aaron Holiday,Hawks,2022-23,G,13.417195767195766,845.2833333333333
Aaron Holiday,Pacers,2018-19,F,13.205555555555556,118.85000000000001
Aaron Holiday,Pacers,2018-19,G,12.853252032520325,526.9833333333333
Aaron Holiday,Pacers,2019-20,F,24.996666666666666,249.96666666666667
Aaron Holiday,Pacers,2019-20,G,24.417261904761904,1367.3666666666666
Aaron Holiday,Pacers,2020-21,F,19.557843137254903,332.48333333333335
Aaron Holiday,Pacers,2020-21,G,17.215986394557824,843.5833333333334
Aaron Holiday,Rockets,2023-24,G,16.273504273504273,1269.3333333333333
Aaron Holiday,Suns,2021-22,G,16.278030303030302,358.1166666666667
Aaron Holiday,Wizards,2021-22,G,16.163414634146342,662.7
Aaron Nesmith,Celtics,2020-21,F,16.17142857142857,113.2
Aaron Nesmith,Celtics,2020-21,G,14.244017094017094,555.5166666666667
Aaron Nesmith,Celtics,2021-22,F,12.045833333333333,96.36666666666666
Aaron Nesmith,Celtics,2021-22,G,10.852651515151514,477.51666666666665
Aaron Nesmith,Pacers,2022-23,F,24.91256830601093,1519.6666666666667
Aaron Nesmith,Pacers,2022-23,G,24.730555555555554,296.76666666666665
Aaron Nesmith,Pacers,2023-24,F,27.71760563380282,1967.95
Aaron Nesmith,Pacers,2023-24,G,26.733333333333334,26.733333333333334
Aaron Wiggins,Thunder,2021-22,F,25.01860465116279,1075.8
Aaron Wiggins,Thunder,2021-22,G,19.0,133.0
Aaron Wiggins,Thunder,2022-23,F,18.414676616915422,1233.7833333333333
Aaron Wiggins,Thunder,2022-23,G,21.22222222222222,63.666666666666664
Aaron Wiggins,Thunder,2023-24,F,15.591293532338307,1044.6166666666666
Aaron Wiggins,Thunder,2023-24,G,16.671212121212122,183.38333333333333
Abdel Nader,Celtics,2017-18,F,10.865625,521.55
Abdel Nader,Suns,2020-21,F,14.801388888888889,355.23333333333335
Abdel Nader,Suns,2021-22,F,10.375,145.25
Abdel Nader,Thunder,2018-19,F,11.451543209876544,618.3833333333333
Abdel Nader,Thunder,2018-19,G,10.75952380952381,75.31666666666666
Abdel Nader,Thunder,2019-20,F,16.25374149659864,796.4333333333333
Abdel Nader,Thunder,2019-20,G,11.752777777777778,70.51666666666667
Admiral Schofield,Magic,2021-22,F,12.337719298245613,468.8333333333333
Admiral Schofield,Magic,2022-23,F,12.196396396396397,451.26666666666665
Admiral Schofield,Magic,2023-24,F,3.6681159420289857,84.36666666666667
Admiral Schofield,Wizards,2019-20,F,11.163131313131313,368.3833333333333
Adonis Thomas,76ers,2013-14,F,6.6083333333333325,13.216666666666665
Adonis Thomas,Magic,2013-14,F,6.091666666666667,24.366666666666667
Adreian Payne,Hawks,2014-15,F,6.405555555555556,19.21666666666667
Adreian Payne,Magic,2017-18,F,8.51,42.55
Adreian Payne,Timberwolves,2014-15,F,24.842528735632186,720.4333333333334
Adreian Payne,Timberwolves,2015-16,F,9.338141025641026,485.5833333333333
Adreian Payne,Timberwolves,2016-17,F,7.514814814814816,135.26666666666668
Al Harrington,Magic,2012-13,F,11.886666666666667,118.86666666666666
Al Harrington,Nuggets,2010-11,C,22.579166666666666,180.63333333333333
Al Harrington,Nuggets,2010-11,F,22.83025641025641,1483.9666666666667
Al Harrington,Nuggets,2011-12,C,27.538888888888888,82.61666666666666
Al Harrington,Nuggets,2011-12,F,27.514480874316938,1678.3833333333332
Al Harrington,Wizards,2013-14,F,15.041176470588235,511.4
Al Horford,76ers,2019-20,C,31.415217391304346,722.55
Al Horford,76ers,2019-20,F,29.61439393939394,1303.0333333333333
Al Horford,Celtics,2016-17,C,32.2510101010101,2128.5666666666666
Al Horford,Celtics,2016-17,F,32.36666666666667,64.73333333333333
Al Horford,Celtics,2017-18,C,31.629166666666666,379.55
Al Horford,Celtics,2017-18,F,31.625555555555554,1897.5333333333333
Al Horford,Celtics,2018-19,C,28.796327683615818,1698.9833333333333
Al Horford,Celtics,2018-19,F,30.409259259259258,273.68333333333334
Al Horford,Celtics,2021-22,C,30.348809523809525,424.8833333333333
Al Horford,Celtics,2021-22,F,28.726363636363637,1579.95
